"Type","Group","Name","Version","Licenses","Purl"
"library","androidx.lifecycle","lifecycle-runtime-compose-android","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-runtime-compose-android@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-runtime-ktx","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-runtime-ktx@2.10.0?type=pom"
"library","androidx.lifecycle","lifecycle-runtime-ktx-android","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-runtime-ktx-android@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-viewmodel","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-viewmodel@2.10.0?type=pom"
"library","androidx.lifecycle","lifecycle-viewmodel-android","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-viewmodel-android@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-viewmodel-compose","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-viewmodel-compose@2.10.0?type=pom"
"library","androidx.lifecycle","lifecycle-viewmodel-compose-android","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-viewmodel-compose-android@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-viewmodel-ktx","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-viewmodel-ktx@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-viewmodel-savedstate","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-viewmodel-savedstate@2.10.0?type=pom"
"library","androidx.lifecycle","lifecycle-viewmodel-savedstate-android","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-viewmodel-savedstate-android@2.10.0?type=aar"
"library","androidx.navigationevent","navigationevent","1.0.0","Apache-2.0","pkg:maven/androidx.navigationevent/navigationevent@1.0.0?type=pom"
"library","androidx.navigationevent","navigationevent-android","1.0.0","Apache-2.0","pkg:maven/androidx.navigationevent/navigationevent-android@1.0.0?type=aar"
"library","androidx.navigationevent","navigationevent-compose","1.0.0","Apache-2.0","pkg:maven/androidx.navigationevent/navigationevent-compose@1.0.0?type=pom"
"library","androidx.navigationevent","navigationevent-compose-android","1.0.0","Apache-2.0","pkg:maven/androidx.navigationevent/navigationevent-compose-android@1.0.0?type=aar"
"library","androidx.profileinstaller","profileinstaller","1.4.0","Apache-2.0","pkg:maven/androidx.profileinstaller/profileinstaller@1.4.0?type=aar"
"library","androidx.savedstate","savedstate","1.4.0","Apache-2.0","pkg:maven/androidx.savedstate/savedstate@1.4.0?type=pom"
"library","androidx.savedstate","savedstate-android","1.4.0","Apache-2.0","pkg:maven/androidx.savedstate/savedstate-android@1.4.0?type=aar"
"library","androidx.savedstate","savedstate-compose","1.4.0","Apache-2.0","pkg:maven/androidx.savedstate/savedstate-compose@1.4.0?type=pom"
"library","androidx.savedstate","savedstate-compose-android","1.4.0","Apache-2.0","pkg:maven/androidx.savedstate/savedstate-compose-android@1.4.0?type=aar"
"library","androidx.savedstate","savedstate-ktx","1.4.0","Apache-2.0","pkg:maven/androidx.savedstate/savedstate-ktx@1.4.0?type=aar"
"library","androidx.startup","startup-runtime","1.1.1","Apache-2.0","pkg:maven/androidx.startup/startup-runtime@1.1.1?type=aar"
"library","androidx.tracing","tracing","1.2.0","Apache-2.0","pkg:maven/androidx.tracing/tracing@1.2.0?type=aar"
"library","androidx.versionedparcelable","versionedparcelable","1.1.1","Apache-2.0","pkg:maven/androidx.versionedparcelable/versionedparcelable@1.1.1?type=aar"
"library","androidx.window","window","1.5.0","Apache-2.0","pkg:maven/androidx.window/window@1.5.0?type=aar"
"library","androidx.window","window-core","1.5.0","Apache-2.0","pkg:maven/androidx.window/window-core@1.5.0?type=pom"
"library","androidx.window","window-core-android","1.5.0","Apache-2.0","pkg:maven/androidx.window/window-core-android@1.5.0?type=aar"
"library","com.google.guava","listenablefuture","1.0","Apache-2.0","pkg:maven/com.google.guava/listenablefuture@1.0?type=jar"
"library","org.jetbrains","annotations","23.0.0","Apache-2.0","pkg:maven/org.jetbrains/annotations@23.0.0?type=jar"
"library","org.jetbrains.kotlin","kotlin-stdlib","2.3.21","Apache-2.0","pkg:maven/org.jetbrains.kotlin/kotlin-stdlib@2.3.21?type=jar"
"library","org.jetbrains.kotlin","kotlin-stdlib-common","2.3.21","Apache-2.0","pkg:maven/org.jetbrains.kotlin/kotlin-stdlib-common@2.3.21?type=pom"
"library","org.jetbrains.kotlinx","kotlinx-coroutines-android","1.10.2","Apache-2.0","pkg:maven/org.jetbrains.kotlinx/kotlinx-coroutines-android@1.10.2?type=jar"
"library","org.jetbrains.kotlinx","kotlinx-coroutines-bom","1.10.2","Apache-2.0","pkg:maven/org.jetbrains.kotlinx/kotlinx-coroutines-bom@1.10.2?type=pom"
"library","org.jetbrains.kotlinx","kotlinx-coroutines-core","1.10.2","Apache-2.0","pkg:maven/org.jetbrains.kotlinx/kotlinx-coroutines-core@1.10.2?type=pom"
"library","org.jetbrains.kotlinx","kotlinx-coroutines-core-jvm","1.10.2","Apache-2.0","pkg:maven/org.jetbrains.kotlinx/kotlinx-coroutines-core-jvm@1.10.2?type=jar"
"library","org.jetbrains.kotlinx","kotlinx-serialization-bom","1.7.3","Apache-2.0","pkg:maven/org.jetbrains.kotlinx/kotlinx-serialization-bom@1.7.3?type=pom"
"library","org.jetbrains.kotlinx","kotlinx-serialization-core","1.7.3","Apache-2.0","pkg:maven/org.jetbrains.kotlinx/kotlinx-serialization-core@1.7.3?type=pom"
"library","org.jetbrains.kotlinx","kotlinx-serialization-core-jvm","1.7.3","Apache-2.0","pkg:maven/org.jetbrains.kotlinx/kotlinx-serialization-core-jvm@1.7.3?type=jar"
"library","org.jspecify","jspecify","1.0.0","Apache-2.0","pkg:maven/org.jspecify/jspecify@1.0.0?type=jar"
